Product ID,Variant ID,Product Title,Category,Price (₹),Material,Color Name,Color Code,Size,Gender,In Stock
031,031-Small-MR,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Maroon,#800000,Small,Unisex,14
031,031-Medium-MR,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Maroon,#800000,Medium,Unisex,4
031,031-Large-MR,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Maroon,#800000,Large,Unisex,16
031,031-XL-MR,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Maroon,#800000,XL,Unisex,10
031,031-Small-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Natural Beige,#F5F5DC,Small,Unisex,9
031,031-Medium-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Natural Beige,#F5F5DC,Medium,Unisex,15
031,031-Large-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Natural Beige,#F5F5DC,Large,Unisex,19
031,031-XL-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Natural Beige,#F5F5DC,XL,Unisex,18
031,031-Small-BK,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Black,#000000,Small,Unisex,19
031,031-Medium-BK,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Black,#000000,Medium,Unisex,3
031,031-Large-BK,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Black,#000000,Large,Unisex,7
031,031-XL-BK,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Black,#000000,XL,Unisex,18
031,031-Small-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Navy Blue,#000080,Small,Unisex,7
031,031-Medium-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Navy Blue,#000080,Medium,Unisex,13
031,031-Large-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Navy Blue,#000080,Large,Unisex,3
031,031-XL-NB,‘Boho Charm’ Handcrafted Jute Sling Bag with Shell Embellishments and Cotton Lining,Hand Bag,1025,Jute,Navy Blue,#000080,XL,Unisex,10
032,032-Small-MR,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Maroon,#800000,Small,Unisex,17
032,032-Medium-MR,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Maroon,#800000,Medium,Unisex,16
032,032-Large-MR,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Maroon,#800000,Large,Unisex,13
032,032-XL-MR,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Maroon,#800000,XL,Unisex,19
032,032-Small-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Natural Beige,#F5F5DC,Small,Unisex,17
032,032-Medium-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Natural Beige,#F5F5DC,Medium,Unisex,10
032,032-Large-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Natural Beige,#F5F5DC,Large,Unisex,16
032,032-XL-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Natural Beige,#F5F5DC,XL,Unisex,7
032,032-Small-BK,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Black,#000000,Small,Unisex,3
032,032-Medium-BK,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Black,#000000,Medium,Unisex,10
032,032-Large-BK,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Black,#000000,Large,Unisex,9
032,032-XL-BK,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Black,#000000,XL,Unisex,20
032,032-Small-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Navy Blue,#000080,Small,Unisex,3
032,032-Medium-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Navy Blue,#000080,Medium,Unisex,19
032,032-Large-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Navy Blue,#000080,Large,Unisex,20
032,032-XL-NB,‘Sunrise Bloom’ Hand Block Printed Canvas Tote with Wooden Handles,Hand Bag,2017,Canvas,Navy Blue,#000080,XL,Unisex,18
